"Program","Code"
" ",""
"Psychology, General.","4201"
"Marketing.","5214"
"Physiology, Pathology and Related Sciences.","2609"
"Biological and Physical Sciences.","3001"
"Area Studies.","0501"
"Noncommercial Vehicle Operation.","3602"
"Interpersonal and Social Skills.","3501"
"Biotechnology.","2612"
"Bible/Biblical Studies.","3902"
"Architectural Engineering.","1404"
"Natural Resources Management and Policy.","0302"
"Soil Sciences.","0112"
"Health Aides/Attendants/Orderlies.","5126"
"Animal Sciences.","0109"
"Educational Administration and Supervision.","1304"
"Biological and Biomedical Sciences, Other.","2699"
"Data Science.","3070"
"Mechanical Engineering.","1419"
"Sociology.","4511"
"Practical Nursing, Vocational Nursing and Nursing Assistants.","5139"
"Electrical and Power Transmission Installers.","4603"
"Somatic Bodywork and Related Therapeutic Services.","5135"
"Research and Experimental Psychology.","4227"
"Precision Systems Maintenance and Repair Technologies.","4704"
"Geological/Geophysical Engineering.","1439"
"Publishing.","0910"
"Multi-/Interdisciplinary Studies, General.","3000"
"Air Transportation.","4901"
"Parks, Recreation, Leisure, and Fitness Studies, Other.","3199"
"Engineering-Related Technologies.","1511"
"Engineering-Related Fields.","1515"
"Communications Technologies/Technicians and Support Services, Other.","1099"
"Audiovisual Communications Technologies/Technicians.","1002"
"Communication Disorders Sciences and Services.","5102"
"Pastoral Counseling and Specialized Ministries.","3907"
"Dance.","5003"
"Computer Engineering Technologies/Technicians.","1512"
"Civil Engineering Technologies/Technicians.","1502"
"Engineering Technologies/Technicians, Other.","1599"
"Gerontology.","3011"
"Rural Sociology.","4514"
"Medical Residency Programs - Subspecialty Certificates.","6005"
"Clinical, Counseling and Applied Psychology.","4228"
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.","5138"
"Polymer/Plastics Engineering.","1432"
"Family and Consumer Sciences/Human Sciences, Other.","1999"
"Veterinary Biomedical and Clinical Sciences.","5125"
"Petroleum Engineering.","1425"
"Engineering Chemistry.","1444"
"English Literature (British and Commonwealth).","2308"
"City/Urban, Community and Regional Planning.","0403"
"International/Global Studies.","3020"
"Physical Sciences.","4001"
"Wildlife and Wildlands Science and Management.","0306"
"Behavioral Sciences.","3017"
"Romance Languages, Literatures, and Linguistics.","1609"
"Cell/Cellular Biology and Anatomical Sciences.","2604"
"Human Resources Management and Services.","5210"
"Business/Corporate Communications.","5205"
"Library Science and Administration.","2501"
"Communication, Journalism, and Related Programs, Other.","0999"
"Marine Sciences.","3032"
"Mathematics and Statistics, Other.","2799"
"Accounting and Computer Science.","3016"
"Insurance.","5217"
"Management Information Systems and Services.","5212"
"Health/Medical Preparatory Programs.","5111"
"Mason/Masonry.","4601"
"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics.","1614"
"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics.","1615"
"Veterinary/Animal Health Technologies/Technicians.","0183"
"Environmental Control Technologies/Technicians.","1505"
"Psychology, Other.","4299"
"Visual and Performing Arts, General.","5001"
"Architecture and Related Services, Other.","0499"
"Specialized Sales, Merchandising and  Marketing Operations.","5219"
"Music.","5009"
"Computer/Information Technology Administration and Management.","1110"
"Education, Other.","1399"
"Environmental Design.","0404"
"Mechanic and Repair Technologies/Technicians, Other.","4799"
"Foreign Languages, Literatures, and Linguistics, Other.","1699"
"Teacher Education and Professional Development, Specific Levels and Methods.","1312"
"Teaching English or French as a Second or Foreign Language.","1314"
"Optometry.","5117"
"Dietetics and Clinical Nutrition Services.","5131"
"Philosophy and Religious Studies, Other.","3899"
"Astronomy and Astrophysics.","4002"
"Energy Systems Technologies/Technicians.","1517"
"Archeology.","4503"
"Mechatronics, Robotics, and Automation Engineering.","1442"
"English Language and Literature/Letters, Other.","2399"
"Celtic Languages, Literatures, and Linguistics.","1613"
"International Agriculture.","0107"
"Paper Science and Engineering.","1440"
"Construction Engineering Technologies.","1510"
"Religion/Religious Studies.","3802"
"Physical Sciences, Other.","4099"
"Landscape Architecture.","0406"
"Demography and Population Studies.","4505"
"Agricultural and Food Products Processing.","0104"
"Citizenship Activities.","3301"
"Plant Sciences.","0111"
"Multi/Interdisciplinary Studies, Other.","3099"
"Nuclear Engineering.","1423"
"Construction Engineering.","1433"
"Architecture.","0402"
"American Sign Language.","1616"
"Human Biology.","3027"
"Architectural History and Criticism.","0408"
"Social Work.","4407"
"Linguistic, Comparative, and Related Language Studies and Services.","1601"
"General Sales, Merchandising and Related Marketing Operations.","5218"
"Human Development, Family Studies, and Related Services.","1907"
"Materials Sciences.","4010"
"Educational/Instructional Media Design.","1305"
"Geological and Earth Sciences/Geosciences.","4006"
"Curriculum and Instruction.","1303"
"Statistics.","2705"
"Criminology.","4504"
"Business, Management, Marketing, and Related Support Services, Other.","5299"
"Interior Architecture.","0405"
"Computer Programming.","1102"
"Plumbing and Related Water Supply Services.","4605"
"Crafts/Craft Design, Folk Art and Artisanry.","5002"
"Management Sciences and Quantitative Methods.","5213"
"Computer Science.","1107"
"Legal Professions and Studies, Other.","2299"
"Marine Transportation.","4903"
"Medical Clinical Sciences/Graduate Medical Studies.","5114"
"Agricultural Public Services.","0108"
"Health-Related Knowledge and Skills.","3401"
"Sociology and Anthropology.","4513"
"Special Education and Teaching.","1310"
"Electrical Engineering Technologies/Technicians.","1503"
"Student Counseling and Personnel Services.","1311"
"Engineering Mechanics.","1411"
"Business/Commerce, General.","5201"
"Graphic Communications.","1003"
"Public Administration and Social Service Professions, Other.","4499"
"Ophthalmic and Optometric Support Services and Allied Professions.","5118"
"Military Systems and Maintenance Technology.","2904"
"Work and Family Studies.","1900"
"Military Science and Operational Studies.","2805"
"Biomathematics, Bioinformatics, and Computational Biology.","2611"
"Molecular Medicine.","2614"
"Science Technologies/Technicians, General.","4100"
"Bioethics/Medical Ethics.","5132"
"Health Professions and Related Clinical Sciences, Other.","5199"
"Heavy/Industrial Equipment Maintenance Technologies.","4703"
"Woodworking.","4807"
"Construction Trades, Other.","4699"
"Forest Engineering.","1434"
"Liberal Arts and Sciences, General Studies and Humanities.","2401"
"Veterinary Medicine.","5124"
"Human Services, General.","4400"
"Human Computer Interaction.","3031"
"Physics and Astronomy.","4011"
"Creative Writing.","2305"
"Psychiatry Residency/Fellowship Programs.","6124"
"Agriculture, General.","0100"
"Computer Software and Media Applications.","1108"
"Chemical Engineering.","1407"
"Building/Construction Finishing, Management, and Inspection.","4604"
"Museology/Museum Studies.","3014"
"Literature.","2314"
"Leisure and Recreational Activities.","3601"
"Personal and Culinary Services, Other.","1299"
"English Language and Literature, General.","2301"
"Accounting and Related Services.","5203"
"Biochemistry, Biophysics and Molecular Biology.","2602"
"Dental Support Services and Allied Professions.","5106"
"Design and Applied Arts.","5004"
"Applied Horticulture and Horticultural Business Services.","0106"
"Parks, Recreation and Leisure Studies.","3101"
"Architectural Sciences and Technology.","0409"
"Transportation and Materials Moving, Other.","4999"
"Developmental and Child Psychology.","4207"
"Computer and Information Sciences, General.","1101"
"Agriculture/Veterinary Preparatory Programs.","0113"
"Visual and Performing Arts, Other.","5099"
"Security Policy and Strategy.","2806"
"Criminal Justice and Corrections.","4301"
"Information Science/Studies.","1104"
"Public Administration.","4404"
"Architectural Engineering Technologies/Technicians.","1501"
"Computer and Information Sciences and Support Services, Other.","1199"
"Fishing and Fisheries Sciences and Management.","0303"
"Applied Statistics.","2706"
"Mechanical Engineering Related Technologies/Technicians.","1508"
"International Relations and National Security Studies.","4509"
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.","4399"
"Missions/Missionary Studies and Missiology.","3903"
"Biology, General.","2601"
"Neurobiology and Neurosciences.","2615"
"Personal Awareness and Self-Improvement.","3701"
"Allied Health Diagnostic, Intervention, and Treatment Professions.","5109"
"Agricultural Production Operations.","0103"
"Carpenters.","4602"
"Precision Production, Other.","4899"
"Chiropractic.","5101"
"Industrial Engineering.","1435"
"Rhetoric and Composition/Writing Studies.","2313"
"Taxation.","5216"
"Community Organization and Advocacy.","4402"
"Library Science, Other.","2599"
"Apparel and Textiles.","1909"
"Economics.","4506"
"Manufacturing Engineering.","1436"
"Theology and Religious Vocations, Other.","3999"
"Housing and Human Environments.","1906"
"Mathematics and Computer Science.","3008"
"Energy and Biologically Based Therapies.","5137"
"Social Sciences, Other.","4599"
"Industrial Production Technologies/Technicians.","1506"
"Social Sciences, General.","4501"
"Vehicle Maintenance and Repair Technologies.","4706"
"Philosophy and Religious Studies, General.","3800"
"Teaching Assistants/Aides.","1315"
"High School/Secondary Certificate Programs.","5302"
"Electromechanical Engineering.","1441"
"Journalism.","0904"
"Public Relations, Advertising, and Applied Communication.","0909"
"Computer Systems Networking and Telecommunications.","1109"
"Bilingual, Multilingual, and Multicultural Education.","1302"
"Data Processing.","1103"
"Law.","2201"
"Non-Professional General Legal Studies (Undergraduate).","2200"
"American Indian/Native American Languages, Literatures, and Linguistics.","1610"
"Family and Consumer Economics and Related Studies.","1904"
"Basic Skills and Developmental/Remedial Education.","3201"
"Family and Consumer Sciences/Human Sciences Business Services.","1902"
"Dental Residency Programs.","6001"
"Clinical/Medical Laboratory Science/Research and Allied Professions.","5110"
"Foods, Nutrition, and Related Services.","1905"
"Engineering, Other.","1499"
"Radio, Television, and Digital Communication.","0907"
"Fire Protection.","4302"
"Engineering Technology, General.","1500"
"Arts, Entertainment,and Media Management.","5010"
"Agricultural Mechanization.","0102"
"Communications Technology/Technician.","1001"
"Business Operations Support and Assistant Services.","5204"
"Film/Video and Photographic Arts.","5006"
"Movement and Mind-Body Therapies and Education.","5136"
"Drama/Theatre Arts and Stagecraft.","5005"
"Health Services/Allied Health/Health Sciences, General.","5100"
"Systems Engineering.","1427"
"Public Policy Analysis.","4405"
"Iranian/Persian Languages, Literatures, and Linguistics.","1608"
"Food Science and Technology.","0110"
"Mining and Mineral Engineering.","1421"
"Operations Research.","1437"
"Biochemical Engineering.","1443"
"Ethnic, Cultural Minority, Gender, and Group Studies.","0502"
"Legal Research and Advanced Professional Studies.","2202"
"Agricultural Business and Management.","0101"
"Funeral Service and Mortuary Science.","1203"
"Medieval and Renaissance Studies.","3013"
"Data Entry/Microcomputer Applications.","1106"
"Computational Science.","3030"
"History and Language/Literature.","3045"
"Teacher Education and Professional Development, Specific Subject Areas.","1313"
"Electrical, Electronics and Communications Engineering.","1410"
"Engineering, General.","1401"
"Nutrition Sciences.","3019"
"Philosophy.","3801"
"Natural Sciences.","3018"
"International Business.","5211"
"Allied Health and Medical Assisting Services.","5108"
"Quality Control and Safety Technologies/Technicians.","1507"
"Surveying Engineering.","1438"
"Boilermaking/Boilermaker.","4808"
"High School/Secondary Diploma Programs.","5301"
"Finance and Financial Management Services.","5208"
"Microbiological Sciences and Immunology.","2605"
"Systems Science and Theory.","3006"
"Culinary Arts and Related Services.","1205"
"Classics and Classical Languages, Literatures, and Linguistics.","1612"
"Engineering Science.","1413"
"Nursing.","5116"
"Textile Sciences and Engineering.","1428"
"Veterinary Residency Programs.","6003"
"Ceramic Sciences and Engineering.","1406"
"Computer Engineering.","1409"
"Public Health.","5122"
"Intercultural/Multicultural and Diversity Studies.","3023"
"Sustainability Studies.","3033"
"International and Comparative Education.","1307"
"Modern Greek Language and Literature.","1606"
"Medical Residency Programs - General Certificates.","6004"
"Social Psychology.","4216"
"Business Administration, Management and Operations.","5202"
"Rehabilitation and Therapeutic Professions.","5123"
"Nuclear Engineering Technologies/Technicians.","1514"
"Osteopathic Medicine/Osteopathy.","5119"
"Family and Consumer Sciences/Human Sciences, General.","1901"
"Security Science and Technology.","4304"
"Health and Medical Administrative Services.","5107"
"Legal Support Services.","2203"
"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.","1611"
"Peace Studies and Conflict Resolution.","3005"
"Community Psychology.","4204"
"African Languages, Literatures, and Linguistics.","1602"
"Mathematics.","2701"
"Physics.","4008"
"Entrepreneurial and Small Business Operations.","5207"
"Biopsychology.","3010"
"Clinical Psychology.","4202"
"Communication and Media Studies.","0901"
"Health and Physical Education/Fitness.","3105"
"Medicine.","5112"
"Drafting/Design Engineering Technologies/Technicians.","1513"
"Alternative and Complementary Medicine and Medical Systems.","5133"
"Air Force ROTC, Air Science and Operations.","2801"
"Business/Managerial Economics.","5206"
"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.","1604"
"Cultural Studies/Critical Theory and Analysis.","3026"
"Orthopedic Surgery Residency/Fellowship Programs.","6115"
"Dentistry.","5104"
"Theological and Ministerial Studies.","3906"
"Science, Technology and Society.","3015"
"Electromechanical Instrumentation and Maintenance Technologies/Technicians.","1504"
"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).","4702"
"Technology Education/Industrial Arts Programs.","2101"
"Political Science and Government.","4510"
"East Asian Languages, Literatures, and Linguistics.","1603"
"Computer Systems Analysis.","1105"
"Agricultural Engineering.","1403"
"Classical and Ancient Studies.","3022"
"Telecommunications Management.","5221"
"South Asian Languages, Literatures, and Linguistics.","1607"
"Medical Residency Programs.","6002"
"Anthropology.","4502"
"Hospitality Administration/Management.","5209"
"Cosmetology and Related Personal Grooming Services.","1204"
"Nanotechnology.","1516"
"Urban Studies/Affairs.","4512"
"Biology Technician/Biotechnology Laboratory Technician.","4101"
"Germanic Languages, Literatures, and Linguistics.","1605"
"Real Estate Development.","0410"
"Historic Preservation and Conservation.","3012"
"Genetics.","2608"
"Geography and Cartography.","4507"
"Science Technologies/Technicians, Other.","4199"
"Ground Transportation.","4902"
"Radiology Residency/Fellowship Programs.","6126"
"Forestry.","0305"
"Outdoor Education.","3106"
"Construction Trades, General.","4600"
"Military Technologies and Applied Sciences, Other.","2999"
"Education, General.","1301"
"Materials Engineering","1418"
"Natural Resources Conservation and Research.","0301"
"Precision Metal Working.","4805"
"Mechanics and Repairers, General.","4700"
"Religious Education.","3904"
"Naval Architecture and Marine Engineering.","1422"
"Holocaust and Related Studies.","3021"
"Ocean Engineering.","1424"
"Cognitive Psychology and Psycholinguistics.","4203"
"Biomedical/Medical Engineering.","1405"
"Cognitive Science.","3025"
"Educational Assessment, Evaluation, and Research.","1306"
"Advanced/Graduate Dentistry and Oral Sciences.","5105"
"Mental and Social Health Services and Allied Professions.","5115"
"History.","5401"
"Atmospheric Sciences and Meteorology.","4004"
"Environmental/Environmental Health Engineering.","1414"
"Electrical/Electronics Maintenance and Repair Technology.","4701"
"Homeland Security.","4303"
"Real Estate.","5215"
"Religious/Sacred Music.","3905"
"Maritime Studies.","3029"
"Alternative and Complementary Medical Support Services.","5134"
"Civil Engineering.","1408"
"Metallurgical Engineering.","1420"
"Zoology/Animal Biology.","2607"
"Dispute Resolution.","3028"
"Nuclear and Industrial Radiologic Technologies/Technicians.","4102"
"Leatherworking and Upholstery.","4803"
"Social and Philosophical Foundations of Education.","1309"
"Army ROTC, Military Science and Operations.","2803"
"Applied Mathematics.","2703"
"Pharmacy, Pharmaceutical Sciences, and Administration.","5120"
"Physical Science Technologies/Technicians.","4103"
"Medical Illustration and Informatics.","5127"
"Construction Management.","5220"
"Precision Production Trades, General.","4800"
"Agriculture, Agriculture Operations, and Related Sciences, Other.","0199"
"Fine and Studio Arts.","5007"
"Agricultural and Domestic Animal Services.","0105"
"Intelligence, Command Control and Information Operations.","2902"
"Biological/Biosystems Engineering.","1445"
"Mining and Petroleum Technologies/Technicians.","1509"
"Natural Resources and Conservation, Other.","0399"
"Botany/Plant Biology.","2603"
"Library and Archives Assisting.","2503"
"Podiatric Medicine/Podiatry.","5121"
"Military Applied Sciences.","2903"
"Neuroscience.","3024"
"Chemistry.","4005"
"Pharmacology and Toxicology.","2610"
"Ecology, Evolution, Systematics, and Population Biology.","2613"
"Aerospace, Aeronautical and Astronautical Engineering.","1402"
"Parks, Recreation and Leisure Facilities Management.","3103"
"Engineering Physics.","1412"
